code	url	creator	created_t	created_datetime	last_modified_t	last_modified_datetime	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	categories_en	origins	origins_tags	manufacturing_places	manufacturing_places_tags	labels	labels_tags	labels_en	emb_codes	emb_codes_tags	first_packaging_code_geo	cities	cities_tags	purchase_places	stores	countries	countries_tags	countries_en	ingredients_text	allergens	allergens_en	traces	traces_tags	traces_en	serving_size	no_nutriments	additives_n	additives	additives_tags	additives_en	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	nutrition_grade_uk	nutrition_grade_fr	pnns_groups_1	pnns_groups_2	states	states_tags	states_en	main_category	main_category_en	image_url	image_small_url	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	butyric-acid_100g	caproic-acid_100g	caprylic-acid_100g	capric-acid_100g	lauric-acid_100g	myristic-acid_100g	palmitic-acid_100g	stearic-acid_100g	arachidic-acid_100g	behenic-acid_100g	lignoceric-acid_100g	cerotic-acid_100g	montanic-acid_100g	melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	alpha-linolenic-acid_100g	eicosapentaenoic-acid_100g	docosahexaenoic-acid_100g	omega-6-fat_100g	linoleic-acid_100g	arachidonic-acid_100g	gamma-linolenic-acid_100g	dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	oleic-acid_100g	elaidic-acid_100g	gondoic-acid_100g	mead-acid_100g	erucic-acid_100g	nervonic-acid_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	sucrose_100g	glucose_100g	fructose_100g	lactose_100g	maltose_100g	maltodextrins_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g
000000000000012866	http://world-en.openfoodfacts.org/product/000000000000012866/poelee-a-la-sarladaise	date-limite-app	1447004364	2015-11-08T17:39:24Z	1447004364	2015-11-08T17:39:24Z	Poêlée à la sarladaise			plat cuisiné	plat-cuisine																				en:FR	en:france	France																							en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:quantity-to-be-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:quantity-to-be-completed,en:photos-to-be-uploaded	To be completed,Nutrition facts to be completed,Ingredients to be completed,Expiration date to be completed,Characteristics to be completed,Categories to be completed,Brands to be completed,Quantity to be completed,Photos to be uploaded																																																																																																			
0000000024600	http://world-en.openfoodfacts.org/product/0000000024600/filet-de-boeuf	date-limite-app	1434530704	2015-06-17T08:45:04Z	1434535914	2015-06-17T10:11:54Z	Filet de bœuf		2.46 kg	plastique	plastique			Filet de bœuf	fr:filet-de-boeuf	fr:Filet-de-boeuf															France	en:france	France																					unknown	unknown	en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-completed, en:characteristics-to-be-completed, en:brands-to-be-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-completed,en:characteristics-to-be-completed,en:brands-to-be-completed,en:photos-to-be-validated,en:photos-uploaded	To be completed,Nutrition facts to be completed,Ingredients to be completed,Expiration date completed,Characteristics to be completed,Brands to be completed,Photos to be validated,Photos uploaded	fr:filet-de-boeuf	fr:Filet-de-boeuf	http://en.openfoodfacts.org/images/products/000/000/002/4600/front.3.400.jpg	http://en.openfoodfacts.org/images/products/000/000/002/4600/front.3.200.jpg																																																																																															
0000000036252	http://world-en.openfoodfacts.org/product/0000000036252/lion-peanut-x2	tacinte	1422221701	2015-01-25T21:35:01Z	1422221855	2015-01-25T21:37:35Z	Lion Peanut x2																						Roissy,France		France	en:france	France																					unknown	unknown	en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:photos-to-be-validated,en:photos-uploaded	To be completed,Nutrition facts to be completed,Ingredients to be completed,Expiration date to be completed,Characteristics to be completed,Categories to be completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Photos to be validated,Photos uploaded			http://en.openfoodfacts.org/images/products/000/000/003/6252/front.4.400.jpg	http://en.openfoodfacts.org/images/products/000/000/003/6252/front.4.200.jpg																																																																																															
0000000039259	http://world-en.openfoodfacts.org/product/0000000039259/twix-x2	tacinte	1422221773	2015-01-25T21:36:13Z	1422221926	2015-01-25T21:38:46Z	Twix x2																						Roissy,France		France	en:france	France																					unknown	unknown	en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:photos-to-be-validated,en:photos-uploaded	To be completed,Nutrition facts to be completed,Ingredients to be completed,Expiration date to be completed,Characteristics to be completed,Categories to be completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Photos to be validated,Photos uploaded			http://en.openfoodfacts.org/images/products/000/000/003/9259/front.6.400.jpg	http://en.openfoodfacts.org/images/products/000/000/003/9259/front.6.200.jpg																																																																																															
0000000039529	http://world-en.openfoodfacts.org/product/0000000039529/pack-de-2-twix	teolemon	1420147051	2015-01-01T21:17:31Z	1439141740	2015-08-09T17:35:40Z	Pack de 2 Twix					Twix	twix																		France	en:france	France																					unknown	unknown	en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:photos-to-be-validated,en:photos-uploaded	To be completed,Nutrition facts to be completed,Ingredients to be completed,Expiration date to be completed,Characteristics to be completed,Categories to be completed,Packaging to be completed,Quantity to be completed,Photos to be validated,Photos uploaded			http://en.openfoodfacts.org/images/products/000/000/003/9529/front.3.400.jpg	http://en.openfoodfacts.org/images/products/000/000/003/9529/front.3.200.jpg																																																																																															
0000001071894	http://world-en.openfoodfacts.org/product/0000001071894/flute-waitrose	bcatelin	1409411252	2014-08-30T15:07:32Z	1439141739	2015-08-09T17:35:39Z	Flute	Flute		Paper,plastic film	paper,plastic-film	Waitrose	waitrose	Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads	Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads	France	france	UK	uk									Brent,UK	Waitrose	United Kingdom	en:united-kingdom	United Kingdom	Wheat								0	 [ wheat -> en:wheat  ] 			0			0					Cereals and potatoes	Bread	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:characteristics-to-be-completed, en:quantity-to-be-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:characteristics-to-be-completed,en:quantity-to-be-completed,en:photos-to-be-validated,en:photos-uploaded	To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Characteristics to be completed,Quantity to be completed,Photos to be validated,Photos uploaded	en:plant-based-foods-and-beverages	Plant-based foods and beverages	http://en.openfoodfacts.org/images/products/000/000/107/1894/front.7.400.jpg	http://en.openfoodfacts.org/images/products/000/000/107/1894/front.7.200.jpg																																																																																															
0000005200016	http://world-en.openfoodfacts.org/product/0000005200016/lentilles-vertes-bertrand-lejeune	sigoise	1441186657	2015-09-02T09:37:37Z	1442570752	2015-09-18T10:05:52Z	lentilles vertes 		1 kg 	Sachet plastique	sachet-plastique	Bertrand Lejeune	bertrand-lejeune	Aliments et boissons à base de végétaux,Aliments d'origine végétale,Légumineuses et dérivés,Céréales et pommes de terre,Légumineuses,Graines,Graines de légumineuses,Légumes secs,Lentilles vertes	en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:cereals-and-potatoes,en:legumes,en:seeds,en:legume-seeds,en:pulses,en:lentils,en:green-lentils	Plant-based foods and beverages,Plant-based foods,Legumes and their products,Cereals and potatoes,Legumes,Seeds,Legume seeds,Pulses,Lentils,Green lentils					AB	fr:ab-agriculture-biologique	fr:AB Agriculture Biologique								France	en:france	France	lentilles vertes								0	 [ lentilles-vertes -> fr:lentilles-vertes  ]  [ lentilles -> fr:lentilles  ] 			0			0					Cereals and potatoes	Legumes	en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:characteristics-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:characteristics-completed,en:photos-to-be-validated,en:photos-uploaded	To be completed,Nutrition facts to be completed,Ingredients completed,Expiration date to be completed,Characteristics completed,Photos to be validated,Photos uploaded	en:plant-based-foods-and-beverages	Plant-based foods and beverages	http://en.openfoodfacts.org/images/products/000/000/520/0016/front.3.400.jpg	http://en.openfoodfacts.org/images/products/000/000/520/0016/front.3.200.jpg																																																																																															
0000007020254	http://world-en.openfoodfacts.org/product/0000007020254	teolemon	1420150193	2015-01-01T22:09:53Z	1420210373	2015-01-02T14:52:53Z						A&W	a-w	Root bier	fr:root-bier	fr:Root-bier															France	en:france	France																					unknown	unknown	en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:characteristics-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-to-be-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:characteristics-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-to-be-completed,en:photos-to-be-validated,en:photos-uploaded	To be completed,Nutrition facts to be completed,Ingredients to be completed,Expiration date to be completed,Characteristics to be completed,Packaging to be completed,Quantity to be completed,Product name to be completed,Photos to be validated,Photos uploaded	fr:root-bier	fr:Root-bier	http://en.openfoodfacts.org/images/products/000/000/702/0254/front.16.400.jpg	http://en.openfoodfacts.org/images/products/000/000/702/0254/front.16.200.jpg																																																																																															
0000010090206	http://world-en.openfoodfacts.org/product/0000010090206/the-de-noel-aromatise-orange-cannelle-alice-delice	sebleouf	1370977431	2013-06-11T19:03:51Z	1445083431	2015-10-17T12:03:51Z	Thé de Noël aromatisé orange-cannelle		75 g	aluminium	aluminium	Alice Délice	alice-delice	Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Boissons chaudes,Infusions,Thés,Thés noirs,Boissons non sucrées,Thés noirs aromatisés,Thés aromatisés	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:hot-beverages,en:herbal-teas,en:teas,en:black-teas,en:flavored-teas,en:non-sugared-beverages,fr:thes-noirs-aromatises	Plant-based foods and beverages,Beverages,Plant-based foods,Hot beverages,Herbal teas,Teas,Black teas,Flavored teas,Non-sugared beverages,fr:Thes-noirs-aromatises			France	france									Lyon,France	Alice Délice	France	en:france	France	Thé noir de Chine, zestes d'oranges 7,5 %, arômes naturels (cannelle 4,7 %, orange 4,7 %, poudre de cannelle 3,9 %).			Œufs,Gluten,Lait,Moutarde,Fruits à coque,Graines de sésame,Soja,Anhydride sulfureux et sulfites	en:eggs,en:gluten,en:milk,en:mustard,en:nuts,en:sesame-seeds,en:soybeans,en:sulphur-dioxide-and-sulphites	Eggs,Gluten,Milk,Mustard,Nuts,Sesame seeds,Soybeans,Sulphur dioxide and sulphites			0	 [ the-noir-de-chine -> fr:the-noir-de-chine  ]  [ the-noir-de -> fr:the-noir-de  ]  [ the-noir -> fr:the-noir  ]  [ the -> fr:the  ]  [ zestes-d-oranges-7 -> fr:zestes-d-oranges-7  ]  [ zestes-d-oranges -> fr:zestes-d-oranges  ]  [ zestes-d -> fr:zestes-d  ]  [ zestes -> fr:zestes  ]  [ 5 -> en:fd-c  ]  [ aromes-naturels -> fr:aromes-naturels  ]  [ aromes -> fr:aromes  ]  [ cannelle-4 -> fr:cannelle-4  ]  [ cannelle -> fr:cannelle  ]  [ 7 -> en:fd-c  ]  [ orange-4 -> fr:orange-4  ]  [ orange -> fr:orange  ]  [ 7 -> en:fd-c  ]  [ poudre-de-cannelle-3 -> fr:poudre-de-cannelle-3  ]  [ poudre-de-cannelle -> fr:poudre-de-cannelle  ]  [ poudre-de -> fr:poudre-de  ]  [ poudre -> fr:poudre  ]  [ 9 -> en:fd-c  ] 			0			0					Beverages	Non-sugared beverages	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:characteristics-completed, en:photos-validated, en:photos-uploaded	en:to-be-checked,en:complete,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-completed,en:characteristics-completed,en:photos-validated,en:photos-uploaded	To be checked,Complete,Nutrition facts completed,Ingredients completed,Expiration date completed,Characteristics completed,Photos validated,Photos uploaded	en:beverages	Beverages	http://en.openfoodfacts.org/images/products/000/001/009/0206/front.5.400.jpg	http://en.openfoodfacts.org/images/products/000/001/009/0206/front.5.200.jpg																																																																																															
0000020364373	http://world-en.openfoodfacts.org/product/0000020364373/zumo-de-pina-vita-fit		1393970573	2014-03-04T22:02:53Z	1393970733	2014-03-04T22:05:33Z	Zumo de Piña					Vita fit	vita-fit																		en:ES	en:spain	Spain																							en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:photos-to-be-validated, en:photos-uploaded	en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:photos-to-be-validated,en:photos-uploaded	To be completed,Nutrition facts to be completed,Ingredients to be completed,Expiration date to be completed,Characteristics to be completed,Categories to be completed,Packaging to be completed,Quantity to be completed,Photos to be validated,Photos uploaded			http://en.openfoodfacts.org/images/products/000/002/036/4373/front.3.400.jpg	http://en.openfoodfacts.org/images/products/000/002/036/4373/front.3.200.jpg																																																																																															
0000027533024	http://world-en.openfoodfacts.org/product/0000027533024/luxury-christmas-pudding-asda	tacinte	1418732959	2014-12-16T12:29:19Z	1442914346	2015-09-22T09:32:26Z	Luxury Christmas Pudding		454g	plastic,bowl	plastic,bowl	Asda,Asda Extra Special	asda,asda-extra-special	Snacks sucrés,Desserts,Biscuits et gâteaux,Gâteaux,Puddings de Noël,Puddings	en:desserts,en:puddings,en:biscuits-et-gateaux,en:gateaux,en:puddings-de-noel,en:snacks-sucres	Desserts,Puddings,Biscuits-et-gateaux,Gateaux,Puddings-de-noel,Snacks-sucres			United Kingdom	united-kingdom									Liverpool,United Kingdom	Asda	Royaume-Uni	en:united-kingdom	United Kingdom	Demerara Sugar, Sultanas (14%), Raisins (9.4%), Bread Rusk [Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin (B3), Thiamin (B1)], Salt, Yeast), Cider, Currants (7.7%), Sherry (4.9%), Palm Oil, Cognac (4.1%), Glacé Cherries (4.1%) [Cherries, Glucose-Fructose Syrup, Colour (Anthocyanins), Acidity Regulator (Citric Acid)], Single Cream (from Milk), Walnuts (2.6%), Almonds (Nut) (2.3%), Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin (B3), Thramin (B1)]. Brandy (1.5%), Rum (1.5%), Treacle, Candied Citrus Peel [Glucose Syrup, Orange Peel, Sugar, Lemon Peel, Acidity Regulator (Citric Acid)], Barley Malt Extract, Mixed Spice [Coriander, Cinnamon, Cloves, Fennel, Ginger, Nutmeg, Cardamom], Salt, Lemon Oil, Orange Oil						113.5		5	 [ demerara-sugar -> en:demerara-sugar  ]  [ sugar -> en:sugar  ]  [ sultanas -> en:sultanas  ]  [ 14 -> en:14  ]  [ raisins -> en:raisins  ]  [ 9-4 -> en:9-4  ]  [ 4 -> en:fd-c  ]  [ bread-rusk-fortified-wheat-flour -> en:bread-rusk-fortified-wheat-flour  ]  [ rusk-fortified-wheat-flour -> en:rusk-fortified-wheat-flour  ]  [ fortified-wheat-flour -> en:fortified-wheat-flour  ]  [ wheat-flour -> en:wheat-flour  ]  [ flour -> en:flour  ]  [ wheat-flour -> en:wheat-flour  ]  [ flour -> en:flour  ]  [ calcium-carbonate -> en:e170  -> exists  ]  [ iron -> en:iron  ]  [ niacin -> en:e375  -> exists  ]  [ b3 -> en:b3  ]  [ thiamin -> en:thiamin  ]  [ b1 -> en:b1  ]  [ salt -> en:salt  ]  [ yeast -> en:yeast  ]  [ cider -> en:cider  ]  [ currants -> en:currants  ]  [ 7-7 -> en:7-7  ]  [ 7 -> en:fd-c  ]  [ sherry -> en:sherry  ]  [ 4-9 -> en:4-9  ]  [ 9 -> en:fd-c  ]  [ palm-oil -> en:palm-oil  ]  [ oil -> en:oil  ]  [ cognac -> en:cognac  ]  [ 4-1 -> en:4-1  ]  [ 1 -> en:fd-c  ]  [ glace-cherries -> en:glace-cherries  ]  [ cherries -> en:cherries  ]  [ 4-1 -> en:4-1  ]  [ 1 -> en:fd-c  ]  [ cherries -> en:cherries  ]  [ glucose-fructose-syrup -> en:glucose-fructose-syrup  ]  [ fructose-syrup -> en:fructose-syrup  ]  [ syrup -> en:syrup  ]  [ colour -> en:colour  ]  [ anthocyanins -> en:e163  -> exists  ]  [ acidity-regulator -> en:acidity-regulator  ]  [ regulator -> en:regulator  ]  [ citric-acid -> en:e330  -> exists  ]  [ single-cream -> en:single-cream  ]  [ cream -> en:cream  ]  [ from-milk -> en:from-milk  ]  [ milk -> en:milk  ]  [ walnuts -> en:walnuts  ]  [ 2-6 -> en:2-6  ]  [ 6 -> en:fd-c  ]  [ almonds -> en:almonds  ]  [ nut -> en:nut  ]  [ 2-3 -> en:2-3  ]  [ 3 -> en:fd-c  ]  [ fortified-wheat-flour -> en:fortified-wheat-flour  ]  [ wheat-flour -> en:wheat-flour  ]  [ flour -> en:flour  ]  [ wheat-flour -> en:wheat-flour  ]  [ flour -> en:flour  ]  [ calcium-carbonate -> en:e170  ]  [ carbonate -> en:e502  -> exists  ]  [ iron -> en:iron  ]  [ niacin -> en:e375  ]  [ b3 -> en:b3  ]  [ thramin -> en:thramin  ]  [ b1 -> en:b1  ]  [ brandy -> en:brandy  ]  [ 1-5 -> en:1-5  ]  [ 5 -> en:fd-c  ]  [ rum -> en:rum  ]  [ 1-5 -> en:1-5  ]  [ 5 -> en:fd-c  ]  [ treacle -> en:treacle  ]  [ candied-citrus-peel-glucose-syrup -> en:candied-citrus-peel-glucose-syrup  ]  [ citrus-peel-glucose-syrup -> en:citrus-peel-glucose-syrup  ]  [ peel-glucose-syrup -> en:peel-glucose-syrup  ]  [ glucose-syrup -> en:glucose-syrup  ]  [ syrup -> en:syrup  ]  [ orange-peel -> en:orange-peel  ]  [ peel -> en:peel  ]  [ sugar -> en:sugar  ]  [ lemon-peel -> en:lemon-peel  ]  [ peel -> en:peel  ]  [ acidity-regulator -> en:acidity-regulator  ]  [ regulator -> en:regulator  ]  [ citric-acid -> en:e330  ]  [ acid -> en:acid  ]  [ barley-malt-extract -> en:barley-malt-extract  ]  [ malt-extract -> en:malt-extract  ]  [ extract -> en:extract  ]  [ mixed-spice-coriander -> en:mixed-spice-coriander  ]  [ spice-coriander -> en:spice-coriander  ]  [ coriander -> en:coriander  ]  [ cinnamon -> en:cinnamon  ]  [ cloves -> en:cloves  ]  [ fennel -> en:fennel  ]  [ ginger -> en:ginger  ]  [ nutmeg -> en:nutmeg  ]  [ cardamom -> en:cardamom  ]  [ salt -> en:salt  ]  [ lemon-oil -> en:lemon-oil  ]  [ oil -> en:oil  ]  [ orange-oil -> en:orange-oil  ]  [ oil -> en:oil  ] 	en:e170,en:e375,en:e163,en:e330,en:e502	E170 - Calcium carbonate,E375 - Nicotinic acid,E163 - Anthocyanins,E330 - Citric acid,E502 - Carbonates	0			0				c	unknown	unknown	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:characteristics-completed, en:photos-validated, en:photos-uploaded	en:to-be-checked,en:complete,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:characteristics-completed,en:photos-validated,en:photos-uploaded	To be checked,Complete,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Characteristics completed,Photos validated,Photos uploaded	en:desserts	Desserts	http://en.openfoodfacts.org/images/products/000/002/753/3024/front.9.400.jpg	http://en.openfoodfacts.org/images/products/000/002/753/3024/front.9.200.jpg	1284		7	3.6																																			54.2	44									4.7	3.9				0.2	0.078740157480315																																							10	10
